timestamp,1D,2D,3D,4D,5D,6D,1d,2d,3d,4d,5d,6d,1f,2f,3f,4f,5f,6f,1,2,3,4,5,6,gx,gy,gz,ax,ay,az
1555505978.79,7.878099999999961,10.292699999999968,24.390199999999936,0.4146000000000001,0.2926999999999964,0.0,1.087099999999964,10.243900000000053,8.770028571428611,0.15678571428571786,0.15679999999998984,0.013942857142858143,349.18465714285713,770.8641142857142,585.2648142857142,48.783985714285706,56.24041428571427,22.571414285714283,343.87800000000004,810.0,621.439,49.8903,54.9024,23.0,-578.0,6330.0,-237.0,7916.0,20396.0,13704.0
1555505978.8,7.390199999999993,18.780500000000075,39.390300000000025,4.5122,1.3049000000000035,0.4024000000000001,0.8850142857143055,14.069685714285585,8.170728571428526,0.7299714285714174,0.2578428571428546,0.5993142857142857,348.0975571428571,781.1080142857144,594.0348428571427,48.62719999999999,56.08361428571428,22.58535714285714,351.7561,799.7073,597.0488,50.3049,55.1951,23.0,-258.0,6000.0,63.0,-172.0,7680.0,18092.0
1555505978.81,1.1951999999999998,19.317100000000096,34.1952,4.207299999999989,0.7072999999999965,0.20730000000000004,1.4146428571428942,3.2264714285713576,7.742171428571397,0.70034285714285,0.5435571428571464,0.05748571428571125,347.2125428571428,795.1777,602.2055714285714,47.89722857142856,56.341457142857145,23.18467142857143,344.3659,780.9268,557.6585,45.7927,56.5,23.4024,-160.0,7285.0,-140.0,-8292.0,-15440.0,19104.0
1555505978.82,2.0976,10.682899999999904,38.58529999999996,3.999999999999993,0.2072999999999965,0.09750000000000014,0.8571428571428328,1.2055714285714885,2.6271714285715007,0.7857142857142847,0.3571428571428612,0.05748571428571481,345.79789999999986,798.4041714285713,594.4634,48.59757142857143,55.79789999999999,23.242157142857142,343.1707,800.2439,591.8537,49.99999999999999,55.7927,23.1951,-691.0,7773.0,-159.0,-2064.0,-4848.0,10676.0
1555505978.83,1.7072999999999752,25.609699999999975,24.292699999999968,1.1950999999999965,1.0,1.0,0.7595857142857767,1.1368683772161605e-13,5.184671428571392,0.2142857142857082,0.0714285714285694,0.0992999999999995,344.94075714285714,799.6097428571428,591.8362285714285,47.81185714285714,56.155042857142845,23.184671428571423,345.2683,810.9268,630.439,46.0,56.0,23.0976,-733.0,6610.0,449.0,2540.0,16672.0,14568.0
1555505978.84,1.804899999999975,16.39020000000005,49.48779999999999,3.8049000000000035,1.8049000000000035,1.1951999999999998,1.2160142857143228,1.6585428571427199,2.0000000000001137,0.5714285714285623,0.0714285714285694,0.1010428571428541,345.70034285714286,799.6097428571429,586.6515571428571,47.597571428571435,56.08361428571428,23.283971428571423,346.9756,785.3171,606.1463,47.1951,57.0,24.0976,-15.0,6449.0,352.0,-6424.0,-6604.0,21820.0
1555505978.85,7.292699999999968,16.731699999999933,46.390300000000025,6.609699999999997,2.2073000000000036,0.3048000000000002,0.4843285714285344,1.1289142857143588,5.188157142856994,0.4146428571428444,0.0714285714285765,0.0278714285714301,346.9163571428572,801.2682857142856,584.651557142857,48.16899999999999,56.01218571428571,23.182928571428572,345.1707,801.7073,556.6585,51.0,55.1951,22.9024,-409.0,7565.0,-251.0,-1648.0,-10792.0,14244.0
1555505978.86,19.195199999999943,18.731699999999933,42.29270000000008,4.4146,2.7073000000000036,1.0975000000000001,0.055757142857146384,3.616714285714352,0.3414571428571662,0.2700428571428404,0.15680000000000405,0.1010428571428612,347.40068571428566,802.3972,579.4634,47.75435714285714,56.08361428571429,23.155057142857142,337.87800000000004,818.439,603.0488,44.3903,57.4024,22.5976,-655.0,6779.0,-100.0,5092.0,15812.0,15624.0
1555505978.87,4.195199999999943,7.170700000000011,17.097599999999943,0.9878,1.3049000000000035,1.0,0.6306571428572171,4.445985714285712,2.156785714285661,0.2421571428571383,0.12891428571428065,0.09931428571428567,347.3449285714285,798.7804857142855,579.1219428571427,48.02439999999999,55.92681428571429,23.2561,357.0732,799.7073,560.7561,48.8049,54.6951,23.6951,-418.0,6287.0,-247.0,-4940.0,-5512.0,24340.0
1555505978.88,6.317000000000064,15.609699999999975,11.878100000000018,2.695200000000014,0.2927000000000035,0.30489999999999995,0.8153285714286653,0.8571428571428896,5.268299999999954,0.329271428571424,0.013928571428579062,0.05748571428571481,346.7142714285713,803.2264714285714,576.9651571428573,47.78224285714285,55.79790000000001,23.156785714285718,352.87800000000004,792.5366,543.6585,49.7927,56.0,22.6951,-139.0,7533.0,109.0,-4244.0,-15312.0,14972.0
