timestamp,1D,2D,3D,4D,5D,6D,1d,2d,3d,4d,5d,6d,1f,2f,3f,4f,5f,6f,1,2,3,4,5,6,gx,gy,gz,ax,ay,az
1556365770.82,57.0,16.731699999999933,1.292699999999968,11.402399999999993,8.207299999999996,0.3048000000000002,57.0,16.731699999999933,1.292699999999968,11.402399999999993,8.207299999999996,0.3048000000000002,325.6585,757.7073,583.5366,47.1951,64.5,23.0976,325.6585,757.7073,583.5366,47.1951,64.5,23.0976,-138.0,236.0,340.0,6764.0,104.0,16876.0
1556365770.83,35.39019999999999,8.487799999999993,8.487799999999993,4.5,5.0,1.5976,35.39019999999999,8.487799999999991,8.487799999999991,4.5,5.0,1.5976,382.6585,774.439,582.2439,58.59749999999999,56.2927,23.4024,382.6585,774.439,582.2439,58.59749999999999,56.2927,23.4024,-328.0,40.0,210.0,6100.0,596.0,16232.0
1556365770.84,12.487799999999993,11.853700000000003,11.780500000000075,6.49989999999999,0.7072999999999965,0.5,8.864085714285693,0.8989428571429698,7.616714285714352,1.8571142857142815,0.7543571428571525,1.0853571428571451,347.2683,765.9512,590.7317,54.09749999999999,61.2927,25.0,347.2683,765.9512,590.7317,54.09749999999999,61.2927,25.0,238.0,95.0,292.0,6384.0,-592.0,16440.0
1556365770.85,1.9024,26.585399999999936,0.6096999999999753,7.194999999999993,2.9024,0.4024000000000001,4.101057142857087,1.142857142857224,0.0313571428571322,0.7003428571428572,0.20034285714285005,0.09931428571428567,356.13238571428565,765.052257142857,583.1149857142857,52.24038571428571,60.53834285714285,23.914642857142855,359.7561,777.8049,578.9512,47.5976,62.0,24.5,-212.0,116.0,26.0,5432.0,60.0,15808.0
1556365770.86,3.9024,10.195099999999911,12.609699999999975,2.3902,2.1951000000000036,0.09759999999999991,6.825785714285643,3.2473857142856564,0.5435571428571393,0.3275142857142868,0.5574857142857113,0.0,360.2334428571428,766.1951142857142,583.1463428571427,52.940728571428565,60.338,23.81532857142857,361.6585,751.2195,578.3415,54.79259999999999,59.0976,24.0976,463.0,89.0,455.0,5536.0,1648.0,16016.0
1556365770.87,0.4146000000000072,5.414700000000039,13.902399999999943,1.4024,2.0,0.6951,2.2857142857142208,0.3275285714285019,1.1986000000000558,1.2282142857142873,0.17247142857143416,0.05748571428571125,353.4076571428572,762.9477285714287,582.6027857142857,52.613214285714285,60.895485714285705,23.81532857142857,357.7561,761.4146,590.9512,52.40239999999999,61.2927,24.0,58.0,106.0,585.0,5564.0,368.0,15784.0
1556365770.88,3.8048,1.1219999999999573,6.707299999999918,1.0975000000000037,3.8048999999999964,0.9024999999999999,1.6132428571428363,0.17421428571424258,1.156800000000089,24.27177142857143,8.113242857142843,0.0992999999999995,355.69337142857137,763.2752571428571,581.4041857142856,51.38499999999999,61.06795714285714,23.757842857142855,358.1707,766.8293,577.0488,50.99999999999999,59.2927,23.3049,378.0,126.0,527.0,4920.0,876.0,15944.0
1556365770.89,19.487899999999968,14.0,5.317099999999982,4.207400000000007,2.9025000000000034,1.0,0.4843142857142766,0.1811857142856752,0.7561000000000604,0.5992857142856991,0.6707428571428409,0.2003428571428536,354.08012857142853,763.4494714285713,582.5609857142857,75.65677142857142,69.18119999999999,23.65854285714286,354.3659,765.7073,583.7561,52.0975,63.0976,22.4024,-379.0,95.0,140.0,6120.0,44.0,15828.0
1556365770.9,28.390299999999968,16.53660000000002,3.902500000000032,10.804900000000004,2.3049000000000035,1.1951999999999998,0.8571428571428896,2.4111428571428632,0.3972142857143126,0.08535714285714846,0.7996571428571569,0.2421571428571454,353.59581428571425,763.2682857142856,581.8048857142858,75.05748571428572,68.51045714285715,23.858885714285712,334.87800000000004,751.7073,578.439,56.3049,60.1951,23.4024,93.0,47.0,158.0,5224.0,1592.0,16396.0
1556365770.91,14.804900000000032,10.780499999999961,4.707300000000032,172.00000000000003,56.292699999999996,0.7927,1.5993142857142288,1.38675714285705,1.8432000000000244,0.09930000000001372,0.6707285714285689,0.2282142857142837,354.4529571428572,760.8571428571428,582.2021,74.97212857142857,67.71079999999999,24.101042857142854,363.2683,768.2439,582.3415,45.5,62.5,24.5976,-285.0,124.0,-38.0,5968.0,-140.0,15712.0
