timestamp,1d,2d,3d,4d,5d,6d,1f,2f,3f,4f,5f,6f,1,2,3,4,5,6,gx,gy,gz,ax,ay,az
1555505763.78,0.1289142857143588,1.9581857142857189,1.17072857142864,0.25608571428570315,0.22821428571428726,0.041814285714284694,349.92334285714276,773.9930285714285,584.9268285714286,47.499985714285714,55.825785714285715,24.84145714285714,349.4634,815.3171,594.3415,47.292699999999996,55.5,24.1951,-998.0,6030.0,279.0,848.0,6672.0,13128.0
1555505763.79,1.327528571428502,2.3693428571428967,8.815342857142923,0.04181428571428114,0.08537142857142754,0.0853714285714311,350.0522571428571,775.9512142857142,583.7561,47.75607142857142,55.59757142857143,24.799642857142857,350.2683,789.5122,642.3415,47.1097,55.2927,25.0,-239.0,5783.0,877.0,-7292.0,18196.0,19752.0
1555505763.8,0.11498571428580817,6.864100000000008,8.613242857142836,0.013928571428557746,0.027871428571437207,0.08535714285714135,351.3797857142856,778.3205571428571,592.5714428571429,47.7978857142857,55.682942857142855,24.714271428571426,354.4634,797.0244,617.3415,48.1951,56.1951,25.1951,-112.0,6157.0,734.0,-14580.0,10536.0,23068.0
1555505763.81,0.529614285714274,23.96515714285715,1.5017428571428582,0.17247142857141995,0.029614285714288258,0.01568571428571275,351.4947714285714,771.4564571428571,601.1846857142857,47.78395714285714,55.71081428571429,24.628914285714284,357.9756,662.6341,590.7317,49.292699999999996,56.0,25.4024,-108.0,7296.0,203.0,-9820.0,-7508.0,17884.0
1555505763.82,0.9721285714285841,19.83972857142851,2.1568000000000893,0.7979142857142989,0.11324285714285764,0.1568000000000005,352.0243857142857,747.4912999999999,602.6864285714286,47.95642857142856,55.681200000000004,24.644599999999997,347.2683,800.8293,540.2439,48.5975,54.5976,23.8049,-292.0,7652.0,-194.0,-152.0,-21664.0,13740.0
1555505763.83,1.7561000000000035,1.8536571428570596,2.672471428571498,0.32752857142858005,0.05748571428571836,0.0435571428571464,352.9965142857143,727.6515714285714,600.5296285714285,48.75434285714286,55.567957142857146,24.487799999999996,354.4634,799.0244,597.8537,47.1951,56.0976,24.5,-763.0,6757.0,-473.0,6984.0,-13964.0,11504.0
1555505763.84,4.728228571428531,3.344957142857197,4.658542857142834,0.6411142857142877,0.0278714285714301,0.2003428571428607,351.2404142857143,729.5052285714285,603.2021,48.42681428571428,55.51047142857143,24.531357142857143,346.561,735.8537,625.439,46.804899999999996,56.2927,24.3049,-632.0,5763.0,-175.0,3344.0,1492.0,11400.0
1555505763.85,2.61324285714295,1.5261428571427587,12.14285714285711,0.3850142857142842,0.057485714285711254,3.552713678800501e-15,346.51218571428575,732.8501857142857,607.8606428571428,47.78569999999999,55.53834285714286,24.331014285714282,353.1707,647.561,604.8537,48.49999999999999,55.2927,24.3049,-602.0,5844.0,238.0,-1728.0,5504.0,12220.0
1555505763.86,3.2264857142856727,20.466900000000123,0.5261285714286714,0.4564428571428607,0.22821428571428726,0.11498571428571225,343.8989428571428,731.3240428571429,620.0034999999999,47.40068571428571,55.59582857142857,24.331014285714286,357.0732,650.6341,627.2439,52.6951,54.5,23.9024,-533.0,5515.0,54.0,-7416.0,10720.0,14084.0
1555505763.87,2.1568000000000325,9.470371428571411,3.4146428571427805,0.026128571428571945,0.0870999999999924,0.22821428571428726,340.6724571428571,710.8571428571428,620.5296285714286,46.94424285714285,55.82404285714286,24.445999999999998,342.1707,810.0,636.0488,45.90239999999999,55.7927,25.5,-413.0,5601.0,173.0,-9868.0,11860.0,14456.0
1555505763.88,2.63065714285716,22.397214285714313,1.2543428571428876,0.12891428571429486,0.04355714285715351,0.1567857142857143,338.5156571428571,720.3275142857142,623.9442714285714,46.97037142857142,55.91114285714285,24.674214285714285,324.878,686.0488,623.3415,44.8049,56.1951,24.0,-424.0,5386.0,-187.0,-10744.0,13980.0,10788.0
1555505763.89,3.4564571428571185,20.52962857142859,4.787457142857079,5.65679999999999,0.2142857142857082,0.3275285714285694,335.88499999999993,742.7247285714285,625.1986142857143,47.09928571428571,55.9547,24.831,328.9756,790.1463,625.2439,45.9024,55.0,23.8049,-446.0,5576.0,-139.0,-10816.0,14712.0,10276.0
1555505763.9,2.0139285714286075,1.637628571428536,9.916385714285752,0.44251428571428875,0.15679999999999694,0.1864142857142852,332.4285428571428,763.2543571428571,620.4111571428572,52.7560857142857,56.16898571428571,25.15852857142857,331.878,655.7561,601.5366,44.0,57.6951,25.3049,-497.0,5371.0,239.0,-9980.0,14392.0,10408.0
1555505763.91,4.7979142857143415,16.425085714285615,6.226485714285786,0.6428571428571459,0.05748571428571836,0.04355714285714285,330.4146142857142,761.6167285714286,610.4947714285714,53.19859999999999,56.012185714285714,24.972114285714284,331.4634,802.1463,649.3415,46.98779999999999,56.9024,25.9024,-461.0,5260.0,117.0,-8668.0,12716.0,10880.0
1555505763.92,3.027871428571416,0.7456428571427978,3.6132428571428363,0.0435571428571464,0.15679999999999694,0.2857142857142847,335.21252857142855,778.0418142857142,604.2682857142856,53.84145714285714,55.954699999999995,25.015671428571427,334.7561,804.3415,613.6341,49.4024,55.5976,25.4024,-349.0,5483.0,17.0,-6552.0,7084.0,13744.0
1555505763.93,3.0836285714285623,18.878042857142873,0.4146428571428942,0.37107142857142605,0.12891428571428065,0.2439,338.24039999999997,777.2961714285714,600.6550428571428,53.79789999999999,56.11149999999999,25.30138571428571,332.878,794.3415,593.7317,92.2927,56.0,26.1951,-701.0,5792.0,-277.0,-2320.0,-5000.0,13920.0
1555505763.94,3.142857142857167,0.0836285714284486,5.299657142857086,0.39894285714284905,0.1428571428571388,0.186399999999999,341.3240285714285,796.1742142857142,600.2403999999999,54.16897142857142,55.98258571428571,25.05748571428571,328.0732,798.5366,566.6341,49.0,54.6951,24.1951,-636.0,6032.0,-395.0,-1844.0,-9244.0,16744.0
1555505763.95,3.229971428571389,0.20209999999997308,8.553999999999974,0.5993000000000066,0.15678571428571786,0.04354285714285666,344.4668857142857,796.2578428571427,594.9407428571428,53.77002857142857,56.12544285714285,24.871085714285712,358.4634,801.0244,579.7561,49.304899999999996,55.7927,24.3049,-305.0,6143.0,-326.0,-5136.0,-14456.0,16700.0
1555505763.96,2.2404285714285948,1.909400000000005,6.770028571428611,6.52787142857143,0.013942857142858145,0.3135857142857148,347.6968571428571,796.0557428571427,586.3867428571428,53.17072857142856,56.28222857142857,24.827542857142856,350.1707,784.9268,599.9512,45.5975,56.0976,25.8049,-467.0,6143.0,191.0,-8724.0,-17388.0,18996.0
